Index,PlayerName,Nation,position,Squad,Competition,Age,BirthYear,Full 90s Played,Goals Scored,Total Shots,Shots on Target,Shots on Target%,Shots Per90,Shots on Target P90,Goals Per Shot,G/SOT,Average shot Distance,Shots from free kicks,Penalties created,Penalties attempted,xG,npxg,npxG/Sh,G-xG,npG-npxG
37,Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29-294,1994,8.8,1,16,4,25.0,1.83,0.46,0.06,0.25,13.5,0,0,2,3.9,2.4,0.15,-2.9,-1.4
38,Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28-150,1995,12.0,2,7,3,42.9,0.58,0.25,0.29,0.67,17.9,0,0,0,0.6,0.6,0.09,+1.4,+1.4
39,Marley Aké,FRA,FW,Udinese,Serie A,22-345,2001,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
40,Nathan Aké,NED,DF,Manchester City,Premier League,28-301,1995,8.2,2,8,3,37.5,0.98,0.37,0.25,0.67,7.8,0,0,0,1.1,1.1,0.14,+0.9,+0.9
41,Ilias Akhomach,ESP,"MF,FW",Villarreal,La Liga,19-244,2004,4.4,0,5,1,20.0,1.13,0.23,0.00,0.00,18.7,0,0,0,0.6,0.6,0.13,-0.6,-0.6
42,Sergio Akieme,ESP,DF,Almería,La Liga,26-000,1997,13.0,2,6,5,83.3,0.46,0.38,0.33,0.40,13.1,0,0,0,1.1,1.1,0.18,+0.9,+0.9
43,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21-294,2002,5.8,3,15,9,60.0,2.57,1.54,0.20,0.33,15.6,0,0,0,2.1,2.1,0.14,+0.9,+0.9
44,Paul Akouokou,CIV,MF,Betis,La Liga,25-361,1997,0.3,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
45,Paul Akouokou,CIV,MF,Lyon,Ligue 1,25-361,1997,3.3,0,2,0,0.0,0.61,0.00,0.00,0.00,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
46,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31-066,1992,0.4,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
